RBW_Hz,NF_dB,Tphys_K,N0_dBmHz,Nth_dBmHz,Nq_dBmHz,Tq_K,Idc_uA,Shot_dBmHz,Noise_in_RBW_dBm,Required_P0_dBm,Required_P1_dBm
1000.0,1,290.0,-173.0,-173.0,-207.0,0.144,0,0.0,-143.0,-113.0,-133.0
1000.0,1,290.0,-173.0,-173.0,-207.0,0.144,0.6,-200.2,-143.0,-113.0,-133.0
1000.0,1,290.0,-173.0,-173.0,-207.0,0.144,2.4,-194.2,-143.0,-113.0,-133.0
1000.0,1,20.0,-184.6,-184.6,-207.0,0.144,0,0.0,-154.6,-124.6,-144.6
1000.0,1,20.0,-184.6,-184.6,-207.0,0.144,0.6,-200.2,-154.5,-124.5,-144.5
1000.0,1,20.0,-184.6,-184.6,-207.0,0.144,2.4,-194.2,-154.2,-124.2,-144.2
1000.0,1,4.0,-191.6,-191.6,-207.0,0.144,0,0.0,-161.6,-131.6,-151.6
1000.0,1,4.0,-191.6,-191.6,-207.0,0.144,0.6,-200.2,-161.0,-131.0,-151.0
1000.0,1,4.0,-191.6,-191.6,-207.0,0.144,2.4,-194.2,-159.7,-129.7,-149.7
1000.0,3,290.0,-171.0,-171.0,-207.0,0.144,0,0.0,-141.0,-111.0,-131.0
1000.0,3,290.0,-171.0,-171.0,-207.0,0.144,0.6,-200.2,-141.0,-111.0,-131.0
1000.0,3,290.0,-171.0,-171.0,-207.0,0.144,2.4,-194.2,-141.0,-111.0,-131.0
1000.0,3,20.0,-182.6,-182.6,-207.0,0.144,0,0.0,-152.6,-122.6,-142.6
1000.0,3,20.0,-182.6,-182.6,-207.0,0.144,0.6,-200.2,-152.5,-122.5,-142.5
1000.0,3,20.0,-182.6,-182.6,-207.0,0.144,2.4,-194.2,-152.3,-122.3,-142.3
1000.0,3,4.0,-189.6,-189.6,-207.0,0.144,0,0.0,-159.6,-129.6,-149.6
1000.0,3,4.0,-189.6,-189.6,-207.0,0.144,0.6,-200.2,-159.2,-129.2,-149.2
